ACCESSION: MycoMSB-HZI-000579
RECORD_TITLE: Colposetin A; timsTOF; MS2; CE:34.7; [M+H]+
DATE: 2026.06.26
AUTHORS: Unknown
LICENSE: CC BY
COPYRIGHT: Helmholtz Centre for Infection Research (HZI)
SP$SCIENTIFIC_NAME: Colpoma sp.
PUBLICATION: doi:10.3390/biom11060783
COMMENT: Converted from Bruker MetaboScape .library export
CH$NAME: Colposetin A
CH$FORMULA: C26H37NO7
CH$EXACT_MASS: 475.2570
CH$SMILES: CC(=O)O[C@H](C(=O)O)[C@@H](C)[C@@H]1C(C)=C[C@@H]2C[C@H](C)CC[C@H]2[C@]1(C)C(O)=C1C(=O)[C@@H](C)N(C)C1=O
CH$IUPAC: InChI=1S/C26H37NO7/c1-12-8-9-18-17(10-12)11-13(2)20(14(3)22(25(32)33)34-16(5)28)26(18,6)23(30)19-21(29)15(4)27(7)24(19)31/h11-12,14-15,17-18,20,22,30H,8-10H2,1-7H3,(H,32,33)/t12-,14+,15-,17+,18-,20+,22+,26+/m1/s1
CH$LINK: INCHIKEY XWTALPIXEKTSAZ-NXCOISIBSA-N
AC$INSTRUMENT: timsTOF Pro, Bruker Daltonics
AC$INSTRUMENT_TYPE: timsTOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 34.69767441860465
AC$MASS_SPECTROMETRY: CCS 182.95974731445312
MS$FOCUSED_ION: BASE_PEAK 476.26428
MS$FOCUSED_ION: PRECURSOR_M/Z 476.26428
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
MS$DATA_PROCESSING: Converted with library_to_massbank.py
PK$SPLASH: splash10-0udi-0988200000-a79fd361f957fa8793a8
PK$NUM_PEAK: 461
PK$PEAK: m/z int. rel.int.
  315.17576 0.0147796 15
  315.18923 0.00925847 9
  315.21422 0.00883377 9
  316.18794 0.0239531 24
  317.19186 0.0102778 10
  318.20672 0.00611569 6
  320.14893 0.00993799 10
  321.18130 0.0182621 18
  321.20722 0.0394972 39
  322.21215 0.0124013 12
  323.19061 0.0132507 13
  323.19776 0.0132507 13
  324.16371 0.0119766 12
  324.20314 0.00806931 8
  324.23316 0.0152043 15
  326.21156 0.00747473 7
  327.18132 0.00620063 6
  328.18651 0.0145248 15
  328.19502 0.00789943 8
  328.23073 0.0180073 18
  329.23432 0.018432 18
  330.20495 0.127495 127
  331.18334 0.0161386 16
  331.20740 0.041111 41
  331.21675 0.032617 33
  334.16142 0.00951329 10
  334.21575 0.00645545 6
  336.19754 0.00526629 5
  336.23483 0.00569099 6
  337.23946 0.00688015 7
  338.21334 0.0165633 17
  339.16392 0.00883377 9
  339.21578 0.00501147 5
  342.22020 0.0135904 14
  342.24123 0.186104 186
  343.24193 0.0605623 61
  344.24705 0.00959823 10
  349.19857 0.00883377 9
  350.19310 0.00713497 7
  352.22675 0.502421 502
  352.73556 0.00611569 6
  353.22983 0.201223 201
  353.24711 0.0204706 20
  354.24164 0.0789094 79
  355.24504 0.02132 21
  355.25773 0.00526629 5
  356.22022 0.0403466 40
  356.24626 0.019876 20
  357.22517 0.0114669 11
  360.24589 0.00620063 6
  361.25008 0.00934341 9
  361.26494 0.00891871 9
  362.21172 0.0635352 63
  363.16426 0.00798437 8
  363.21581 0.0257369 26
  366.20515 0.00654039 7
  370.20916 0.00645545 6
  370.23651 0.432005 432
  371.24133 0.232141 232
  372.23245 0.0122314 12
  372.24496 0.0534273 53
  374.26823 0.00679521 7
  380.22250 0.357428 357
  380.23994 0.012826 13
  381.22481 0.0635352 63
  382.23136 0.0221694 22
  388.24719 0.253291 253
